businesscomponent_shortname,ercsa_shortname,weight
COSFTS,CONTRL,2
COSGNS,CONTRL,2
COSGLS,CONTRL,2
COSFLS,CONTRL,2
COSCCD,PEOPLE,10
COSMAD,PEOPLE,10
COSPID,PEOPLE,10
COSTRS,PEOPLE,10
COSGLO,PEOPLE,10
COSFTS,PEOPLE,10
COSGNS,PEOPLE,10
COSGLS,PEOPLE,10
COSFLS,PEOPLE,10
COSCCD,EXECTN,6
COSMAD,EXECTN,6
COSPID,EXECTN,6
COSTRS,EXECTN,6
COSGLO,EXECTN,6
COSFTS,EXECTN,6
COSGNS,EXECTN,6
COSGLS,EXECTN,6
COSFLS,EXECTN,6
COSCCD,BUSCON,2
COSMAD,BUSCON,2
COSPID,BUSCON,2
COSTRS,BUSCON,2
COSGLO,BUSCON,2
COSFTS,BUSCON,2
COSGNS,BUSCON,2
COSGLS,BUSCON,2
COSFLS,BUSCON,2
COSCCD,RSKCTL,4
COSMAD,RSKCTL,4
COSPID,RSKCTL,4
COSTRS,RSKCTL,4
COSGLO,RSKCTL,4
COSFTS,RSKCTL,4
COSGNS,RSKCTL,4
COSGLS,RSKCTL,4
COSFLS,RSKCTL,4
COSCCD,INTLAM,4
COSMAD,INTLAM,4
COSPID,INTLAM,4
COSTRS,INTLAM,4
COSGLO,INTLAM,4
COSFTS,INTLAM,4
COSGNS,INTLAM,4
COSGLS,INTLAM,4
COSFLS,INTLAM,4
COSCCD,PHSACC,4
COSMAD,PHSACC,4
COSPID,PHSACC,4
COSTRS,PHSACC,4
COSGLO,PHSACC,4
COSFTS,PHSACC,4
COSGNS,PHSACC,4
COSGLS,PHSACC,4
COSFLS,PHSACC,4
COSCCD,POLPRO,2
COSMAD,POLPRO,2
COSPID,POLPRO,2
COSTRS,POLPRO,2
COSGLO,POLPRO,2
COSFTS,POLPRO,2
COSGNS,POLPRO,2
COSGLS,POLPRO,2
COSFLS,POLPRO,2
COSCCD,CORSYS,10
COSMAD,CORSYS,10
COSPID,CORSYS,10
COSTRS,CORSYS,10
COSGLO,CORSYS,10
COSFTS,CORSYS,10
COSGNS,CORSYS,10
COSGLS,CORSYS,10
COSFLS,CORSYS,10
COSCCD,EXTLAM,10
COSMAD,EXTLAM,10
COSPID,EXTLAM,10
COSTRS,EXTLAM,10
COSGLO,EXTLAM,10
COSFTS,EXTLAM,10
COSGNS,EXTLAM,10
COSGLS,EXTLAM,10
COSFLS,EXTLAM,10
COSCCD,VENDOR,6
COSMAD,VENDOR,6
COSPID,VENDOR,6
COSTRS,VENDOR,6
COSGLO,VENDOR,6
COSFTS,VENDOR,6
COSGNS,VENDOR,6
COSGLS,VENDOR,6
COSFLS,VENDOR,6
TRAFXT,CONTRL,10
TRAFUT,CONTRL,10
TRABST,CONTRL,10
TRAEQT,CONTRL,10
TRABOT,CONTRL,10
TRAFXT,PEOPLE,10
TRAFUT,PEOPLE,10
TRABST,PEOPLE,10
TRAEQT,PEOPLE,10
TRABOT,PEOPLE,10
TRAFXT,EXECTN,10
TRAFUT,EXECTN,10
TRABST,EXECTN,10
TRAEQT,EXECTN,10
TRABOT,EXECTN,10
TRAFXT,BUSCON,8
TRAFUT,BUSCON,8
TRABST,BUSCON,8
TRAEQT,BUSCON,8
TRABOT,BUSCON,8
TRAFXT,RSKCTL,6
TRAFUT,RSKCTL,6
TRABST,RSKCTL,6
TRAEQT,RSKCTL,6
TRABOT,RSKCTL,6
TRAFXT,INTLAM,6
TRAFUT,INTLAM,6
TRABST,INTLAM,6
TRAEQT,INTLAM,6
TRABOT,INTLAM,6
TRAFXT,PHSACC,4
TRAFUT,PHSACC,4
TRABST,PHSACC,4
TRAEQT,PHSACC,4
TRABOT,PHSACC,4
TRAFXT,POLPRO,2
TRAFUT,POLPRO,2
TRABST,POLPRO,2
TRAEQT,POLPRO,2
TRABOT,POLPRO,2
TRAFXT,TRDING,10
TRAFUT,TRDING,10
TRABST,TRDING,10
TRAEQT,TRDING,10
TRABOT,TRDING,10
TRAFXT,MODMGT,10
TRAFUT,MODMGT,10
TRABST,MODMGT,10
TRAEQT,MODMGT,10
TRABOT,MODMGT,10
ALOCRL,CONTRL,10
ALOCRL,PEOPLE,10
ALOCRL,EXECTN,10
ALOCRL,BUSCON,4
ALOCRL,RSKCTL,6
ALOCRL,INTLAM,6
ALOCRL,PHSACC,4
ALOCRL,POLPRO,2
ALOCRL,CCRASS,10
ALOCRL,MODMGT,10
ALOCRL,CCRADM,4
ALOTRF,CONTRL,10
ALOTRF,PEOPLE,10
ALOTRF,EXECTN,10
ALOTRF,BUSCON,4
ALOTRF,RSKCTL,6
ALOTRF,INTLAM,6
ALOTRF,PHSACC,4
ALOTRF,POLPRO,2
ALOTRF,LIQDTY,10
ALOTRF,MODMGT,10
ALOTRF,TRDEAL,6
ALOTIR,CONTRL,10
ALOTIR,PEOPLE,10
ALOTIR,EXECTN,10
ALOTIR,BUSCON,4
ALOTIR,RSKCTL,6
ALOTIR,INTLAM,6
ALOTIR,PHSACC,4
ALOTIR,POLPRO,2
ALOTIR,INTRAT,10
ALOTIR,MODMGT,10
ALOTIR,TRDEAL,6
ALOSAS,CONTRL,10
ALOSAS,PEOPLE,10
ALOSAS,EXECTN,10
ALOSAS,BUSCON,4
ALOSAS,RSKCTL,6
ALOSAS,INTLAM,6
ALOSAS,PHSACC,4
ALOSAS,POLPRO,2
ALOSAS,PRDAPP,10
